year,Oil,Flaring,Cement,Coal,Gas,Other
1967,5076966087,190782930,239902562,5265494824,1432699511,
1968,5530065631,203800258,255442703,5322694664,1559316127,
1969,5980282309,244034831,270887163,5521404959,1708253579,
1970,6800497281,277744916,288599003,5696011170,1790364862,
1971,7201874822,321397912,297799297,5699522619,1933010611,
1972,7765397713,346839294,315799949,5693350022,2051692973,
1973,8302781814,402112306,334597733,5853791539,2133881621,
1974,8185499402,391315144,334855829,5866040636,2179495726,
1975,8114606275,336647103,333111490,6009965840,2204997360,
1976,8552994574,395360368,347618873,6292415479,2345566810,
1977,8878314201,381408068,364227724,6429695584,2391193406,
1978,9148595378,390115621,386880520,6597322201,2493777655,
1979,9304128336,360111268,392617174,6856754793,2643942283,
1980,8960159014,316416742,395543915,7054757557,2717533912,
1981,8547767386,237221636,395089529,7037761193,2762398601,
1982,8339887988,235710853,393738911,7160349200,2701060001,
1983,8245443488,213060815,402792252,7355719407,2732747000,
1984,8331706886,187039722,411254280,7704373895,2970105902,
1985,8332610941,181808247,416418454,8247090923,3084282654,
1986,8584108764,170101722,434335469,8347766536,3023662134,
1987,8666767313,163513056,453244555,8637351557,3270912062,
1988,8978664078,186133579,479306007,8932728356,3435404519,
1989,9137664142,151422415,492059753,8956528466,3582448543,
1990,9218258601,253078806,499175393,8714693023,3841497600,222870938
1991,9690863545,267727408,512581861,8632497325,3919078715,215353294
1992,9187135313,237271345,534352220,8432359567,3962802544,215703291
1993,9198667703,233519645,555907450,8530222838,4070111356,215066358
1994,9234924803,237025353,592506349,8578204121,4106646496,215276238
1995,9331868024,235064452,626550828,8823056385,4215055506,222349258
1996,9607797352,237258733,639057693,9048362701,4401812313,220672413
1997,9760159154,242862690,658857460,8999357825,4417083189,222230113
1998,9850361673,231476546,654331642,8761668797,4489340027,219092585
1999,10074986970,223914260,685076679,8694799612,4622640644,217544124
2000,10284600677,269650162,717654459,9012492044,4734842449,214967459
2001,10374439074,271823244,747881027,9062811801,4782718834,211380519
2002,10369749676,286896420,788754583,9455515439,4923490001,214785359
2003,10663935089,288325988,847687932,10250968004,5096388834,219417443
2004,11014797542,311239579,906843713,10897002590,5267578542,230071069
2005,11105160850,332128320,960271948,11570086087,5394104882,241025108
2006,11209074603,333496521,1047467245,12222242414,5519419104,251830195
2007,11246436552,348421607,1122719810,12811337614,5705789077,259036929
2008,11201882933,362429768,1138770910,13234704991,5872526075,259129331
2009,10999250521,367549879,1170486415,13067147049,5760080513,242528034
2010,11306792669,367088388,1247673931,13970831518,6205800436,245113511
2011,11337210528,354302880,1343287876,14781224591,6377915913,274509258
2012,11499118617,364404561,1377853661,14949696820,6507532370,275469117
2013,11586005475,369849064,1438773930,15042879961,6552317435,293199577
2014,11632233150,381462844,1493852504,15062902200,6660134271,303857982
2015,11881130860,372363911,1437304535,14718202615,6785934829,301469588
2016,11959219106,387691414,1478758083,14360627930,6967332548,298830219
2017,12130800640,422856485,1500493304,14453701688,7117014137,300871434
2018,12190054759,412217091,1566739734,14718145232,7457571949,301411020
2019,12229641805,434595520,1608471760,14573219408,7553393814,303180595
2020,11072500907,435033550,1626370966,13976098260,7399509390,297746026
