year,China,US,India,Russia,Japan,UK
1976,1226421277.0000,4747563213.0000,244990017.0000,1896072664.0000,907144545.0000,598525992.0000
1977,1340831115.0000,4889398200.0000,259214620.0000,1960565087.0000,933237686.0000,604361731.0000
1978,1492777845.0000,4941142490.0000,263398423.0000,2027893811.0000,901590083.0000,604713507.0000
1979,1525661148.0000,5008358608.0000,276542061.0000,2044713319.0000,953071343.0000,644512763.0000
1980,1494495884.0000,4808295761.0000,291992232.0000,2125165158.0000,944868566.0000,579035415.0000
1981,1476487854.0000,4686171508.0000,315265795.0000,2084697846.0000,926835495.0000,560554477.0000
1982,1606585013.0000,4447079918.0000,325683632.0000,2124002311.0000,897407791.0000,548240368.0000
1983,1694216811.0000,4429186731.0000,352530101.0000,2154129018.0000,880909402.0000,545485136.0000
1984,1844828012.0000,4661920937.0000,361889225.0000,2173259315.0000,937069892.0000,529108173.0000
1985,1998082904.0000,4652382863.0000,397952960.0000,2343796323.0000,912400813.0000,559627325.0000
1986,2104213354.0000,4663165469.0000,426698557.0000,2344123760.0000,912259933.0000,568553975.0000
1987,2257738539.0000,4825444723.0000,455758841.0000,2355475479.0000,902530350.0000,571667598.0000
1988,2425893553.0000,5050267778.0000,492144025.0000,2430947449.0000,985464274.0000,570293732.0000
1989,2463654367.0000,5131926576.0000,541134880.0000,2400308425.0000,1021681739.0000,581576100.0000
1990,2484854820.0000,5113454675.0000,578518195.0000,2525517951.0000,1158007407.0000,600343890.0000
1991,2606096182.0000,5057930940.0000,615924923.0000,2396204964.0000,1169691855.0000,608430640.0000
1992,2730787587.0000,5167480847.0000,656033132.0000,1957886127.0000,1179396064.0000,592883834.0000
1993,2921650956.0000,5267343060.0000,677916275.0000,1859679401.0000,1172339471.0000,578635270.0000
1994,3100002045.0000,5358824048.0000,716917563.0000,1641616084.0000,1227273012.0000,574640846.0000
1995,3357908888.0000,5421502465.0000,762120642.0000,1613141141.0000,1239619832.0000,566567960.0000
1996,3503233703.0000,5610581589.0000,825918856.0000,1580375678.0000,1251530853.0000,588187603.0000
1997,3510169286.0000,5686464995.0000,859686238.0000,1475360211.0000,1244781173.0000,562333177.0000
1998,3360455433.0000,5731049595.0000,877698067.0000,1458367830.0000,1204993482.0000,567600126.0000
1999,3350340129.0000,5804668919.0000,951748674.0000,1486300503.0000,1241611492.0000,561108555.0000
2000,3439152210.0000,6010508353.0000,978919215.0000,1471259489.0000,1264374642.0000,567585033.0000
2001,3514933795.0000,5904881595.0000,992560136.0000,1507706569.0000,1249766267.0000,576313538.0000
2002,3872595297.0000,5946770566.0000,1023027203.0000,1495693637.0000,1279120141.0000,560066032.0000
2003,4545013886.0000,6011837495.0000,1059616164.0000,1525606991.0000,1287467746.0000,571471921.0000
2004,5223754656.0000,6114006880.0000,1125471265.0000,1530694319.0000,1282861601.0000,572903657.0000
2005,5876555340.0000,6134521473.0000,1185953364.0000,1547599053.0000,1290371061.0000,569962114.0000
2006,6488803816.0000,6051668046.0000,1259744276.0000,1606541855.0000,1267361874.0000,567571938.0000
2007,6978611952.0000,6131004158.0000,1358152218.0000,1604549406.0000,1303134177.0000,559236418.0000
2008,7496832207.0000,5914077766.0000,1462814598.0000,1636923059.0000,1232313730.0000,544498125.0000
2009,7886532768.0000,5478209686.0000,1612816599.0000,1528961075.0000,1163212931.0000,493894854.0000
2010,8616652695.0000,5675786435.0000,1677887585.0000,1613113034.0000,1214816233.0000,511631630.0000
2011,9528555734.0000,5540173478.0000,1780129996.0000,1665206778.0000,1264866099.0000,469453672.0000
2012,9775621803.0000,5338698344.0000,1963586045.0000,1680104359.0000,1306009842.0000,487516555.0000
2013,9952743755.0000,5474256770.0000,2036937081.0000,1619419684.0000,1315342658.0000,477387488.0000
2014,9985583382.0000,5522807202.0000,2185855918.0000,1622588593.0000,1263728759.0000,438540999.0000
2015,9848419740.0000,5371770557.0000,2268567478.0000,1623099849.0000,1223396445.0000,422340107.0000
2016,9720444086.0000,5248023931.0000,2382223220.0000,1618598940.0000,1203717880.0000,399337394.0000
2017,9920459189.0000,5207751278.0000,2433855754.0000,1646456968.0000,1188122842.0000,387565181.0000
2018,10289989525.0000,5375490614.0000,2599805717.0000,1691646718.0000,1143457876.0000,381889659.0000
2019,10489988555.0000,5255816207.0000,2625968148.0000,1679449327.0000,1105929335.0000,369009693.0000
2020,10667887453.0000,4712770573.0000,2441792313.0000,1577136041.0000,1030775384.0000,329578911.0000
